song_name;artist;cover_image;duration;genre;tempo;activity;mood;release_year
Between Her Goodbye And My Hello;Gladys Knight & The Pips;https://i.scdn.co/image/26ef92f14ef7c73f7b37d32c98549fbdac02bf38;232547;2;2;2;2;1974
Beyond;Herb Alpert;https://i.scdn.co/image/3415d3c87ffd34fe0f9d789b9931e245d75e16b9;361227;9;2;5;3;1980
Birthday Sex;Jeremih;https://i.scdn.co/image/bfc8ea56bb37f0abcc8007f8c443084a02fc489c;226507;4;3;3;3;2009
Black & Chinese;Quavo;https://i.scdn.co/image/396f6aebbee070b7ac03ca422fbd0913b4b8de45;172017;4;1;1;4;2017
Black Coffee;Heavy D & The Boyz;https://i.scdn.co/image/40c73fd36e3e0a6eec2304ffb73ed3f1525b6593;267800;4;2;2;3;1994
Blackout;Breathe Carolina;https://i.scdn.co/image/0901599555a9676d242bbbe4fc1e0123733d2ad4;210200;2;2;2;2;2011
Blank Space;I Prevail;https://i.scdn.co/image/aec36335625923ce4699d1759db561974e5f7976;240928;8;1;1;4;2014
Blem;Drake;https://i.scdn.co/image/974010663ebd1e267ac11de88e07647eefbfa19d;216558;4;2;2;3;2017
Blessed;Elton John;https://i.scdn.co/image/04adc848395d59fee8940bae8a7236bfadfab5d9;302333;1;2;2;1;1995
Blue Collar Man (Long Nights);Styx;https://i.scdn.co/image/fc00f1c626d45dd155264bbb42b5c8a03ff5f473;247373;1;2;2;1;1978
Blue Morning, Blue Day;Foreigner;https://i.scdn.co/image/2e4b8e8ecad44406f3bbd0eb5a1288f273aeca09;192973;1;2;2;1;1978
Blue Tint;Drake;https://i.scdn.co/image/542d705154be4049fc927050d006987e63739bbd;162800;4;1;1;4;2018
Blunt Blowin;Lil Wayne;https://i.scdn.co/image/c49b2b9a3948ee0b78153a9ccad7c7f82002751c;312960;4;1;1;4;2011
Booty;Blac Youngsta;https://i.scdn.co/image/4fa838c0b695d3a4cebdeaa4a66b29e60943f6f1;160038;2;1;1;4;2018
Brandy;The O'Jays;https://i.scdn.co/image/63a589c8e6198d3a28fd1b577dc30568fc446475;251747;5;1;1;5;1978
Break Away;The Beach Boys;https://i.scdn.co/image/2dd7553a4b63a4b29fae0f3fc78c49fccc4bef8c;176867;2;2;2;2;1975
Break My Bank (feat. Iyaz);New Boyz;https://i.scdn.co/image/df0901655240fde34d798304ad0ef7bc55053021;177253;2;2;2;2;2011
Break My Stride;Matthew Wilder;https://i.scdn.co/image/ea64e0167956cbf74c8f7e1569cc876f7625942d;184480;2;2;2;2;1983
Break Ya Neck;Busta Rhymes;https://i.scdn.co/image/0fe9106edc42e1171626ab40877b6b3f757665e3;231240;4;3;3;3;2001
Break the Rules;Charli XCX;https://i.scdn.co/image/bde8d9dbc2891a92da2b19fa11e0a5533d3bef1e;203908;2;2;2;2;2015
Breathe And Stop;Q-Tip;https://i.scdn.co/image/946b3dd912b48c67550b8e5c895bacb08c120ec5;243867;4;2;2;3;1999
Bridget the Midget (The Queen of the Blues);Ray Stevens;https://i.scdn.co/image/f986bde84e924aed0992526bd4a47d2ff68a5866;219240;2;1;1;4;2014
Bring It On Home;Little Big Town;https://i.scdn.co/image/1fc40ce1938189a98d1a38eb51553294304863c5;260627;3;1;1;3;2000
